DepartureDate,DayOfWeek,Month,PredictedPrice
2025-05-18,6,5,763.4052073485702
2025-05-19,0,5,801.6415633552264
2025-05-20,1,5,764.6098654027209
2025-05-21,2,5,859.5378404881084
2025-05-22,3,5,874.889242391336
2025-05-23,4,5,908.701041010209
2025-05-24,5,5,915.3331368167563
2025-05-25,6,5,763.4052073485702
2025-05-26,0,5,801.6415633552264
2025-05-27,1,5,764.6098654027209
2025-05-28,2,5,859.5378404881084
2025-05-29,3,5,874.889242391336
2025-05-30,4,5,908.701041010209
2025-05-31,5,5,915.3331368167563
2025-06-01,6,6,763.4052073485702
2025-06-02,0,6,801.6415633552264
2025-06-03,1,6,764.6098654027209
2025-06-04,2,6,859.5378404881084
2025-06-05,3,6,874.889242391336
2025-06-06,4,6,908.701041010209
2025-06-07,5,6,915.3331368167563
2025-06-08,6,6,763.4052073485702
2025-06-09,0,6,801.6415633552264
2025-06-10,1,6,764.6098654027209
2025-06-11,2,6,859.5378404881084
2025-06-12,3,6,874.889242391336
2025-06-13,4,6,908.701041010209
2025-06-14,5,6,915.3331368167563
2025-06-15,6,6,763.4052073485702
2025-06-16,0,6,801.6415633552264
2025-06-17,1,6,764.6098654027209
2025-06-18,2,6,859.5378404881084
2025-06-19,3,6,874.889242391336
2025-06-20,4,6,908.701041010209
2025-06-21,5,6,915.3331368167563
2025-06-22,6,6,763.4052073485702
2025-06-23,0,6,801.6415633552264
2025-06-24,1,6,764.6098654027209
2025-06-25,2,6,859.5378404881084
2025-06-26,3,6,874.889242391336
2025-06-27,4,6,908.701041010209
2025-06-28,5,6,915.3331368167563
2025-06-29,6,6,763.4052073485702
2025-06-30,0,6,801.6415633552264
2025-07-01,1,7,764.6098654027209
2025-07-02,2,7,859.5378404881084
2025-07-03,3,7,874.889242391336
2025-07-04,4,7,908.701041010209
2025-07-05,5,7,915.3331368167563
2025-07-06,6,7,763.4052073485702
2025-07-07,0,7,801.6415633552264
2025-07-08,1,7,764.6098654027209
2025-07-09,2,7,859.5378404881084
2025-07-10,3,7,874.889242391336
2025-07-11,4,7,908.701041010209
2025-07-12,5,7,915.3331368167563
2025-07-13,6,7,763.4052073485702
2025-07-14,0,7,801.6415633552264
2025-07-15,1,7,764.6098654027209
2025-07-16,2,7,859.5378404881084
2025-07-17,3,7,874.889242391336
2025-07-18,4,7,908.701041010209
2025-07-19,5,7,915.3331368167563
2025-07-20,6,7,763.4052073485702
2025-07-21,0,7,801.6415633552264
2025-07-22,1,7,764.6098654027209
2025-07-23,2,7,859.5378404881084
2025-07-24,3,7,874.889242391336
2025-07-25,4,7,908.701041010209
2025-07-26,5,7,915.3331368167563
2025-07-27,6,7,763.4052073485702
2025-07-28,0,7,801.6415633552264
2025-07-29,1,7,764.6098654027209
2025-07-30,2,7,859.5378404881084
2025-07-31,3,7,874.889242391336
2025-08-01,4,8,908.701041010209
2025-08-02,5,8,915.3331368167563
2025-08-03,6,8,763.4052073485702
2025-08-04,0,8,801.6415633552264
2025-08-05,1,8,764.6098654027209
2025-08-06,2,8,859.5378404881084
2025-08-07,3,8,874.889242391336
2025-08-08,4,8,908.701041010209
2025-08-09,5,8,915.3331368167563
2025-08-10,6,8,763.4052073485702
2025-08-11,0,8,801.6415633552264
2025-08-12,1,8,764.6098654027209
2025-08-13,2,8,859.5378404881084
2025-08-14,3,8,874.889242391336
2025-08-15,4,8,908.701041010209
2025-08-16,5,8,915.3331368167563
2025-08-17,6,8,763.4052073485702
2025-08-18,0,8,801.6415633552264
2025-08-19,1,8,764.6098654027209
2025-08-20,2,8,859.5378404881084
2025-08-21,3,8,874.889242391336
2025-08-22,4,8,908.701041010209
2025-08-23,5,8,915.3331368167563
2025-08-24,6,8,763.4052073485702
2025-08-25,0,8,801.6415633552264
2025-08-26,1,8,764.6098654027209
2025-08-27,2,8,859.5378404881084
2025-08-28,3,8,874.889242391336
2025-08-29,4,8,908.701041010209
2025-08-30,5,8,915.3331368167563
2025-08-31,6,8,763.4052073485702
2025-09-01,0,9,816.4113408585041
2025-09-02,1,9,808.7517400811136
2025-09-03,2,9,863.3784869941826
2025-09-04,3,9,856.752157055934
2025-09-05,4,9,852.083511504172
